ref	Address	note
78807:73	Bohdíkov, Komňátka 40 obchod Komňátka, Bohdíkov, Šumperk	stojan
78807:74	Olšany 143, obchod Jednota Olšany, Šumperk	stojan
78807:75	Bohutín 32, obchod Jednota Bohutín, Šumperk	stojan
78807:76	Olšany, Klášterec, křižovatka u čp. 54 Klášterec, Olšany, Šumperk	stojan
78807:77	Bušín 165, obchod Jednota Bušín, Šumperk	stojan
78807:78	Olšany U Dvora, BUS zastávka naproti čp.8 Olšany, Šumperk	stoj
78807:79	Zábřeh, Nerudova 2082/7, DPS penzion Zábřeh, Šumperk	stojan
78807:8	Šumperk, Nemocniční 265/7, pož.zbrojnice Šumperk, Šumperk	stojan
78807:81	Zábřeh, Severovýchod 475/5, ALBERT Zábřeh, Šumperk	stojan
78807:82	Zábřeh, Leštinská ul., Kaufland Zábřeh, Šumperk	stojan
78807:83	Zábřeh, Masarykovo náměstí 24/23 Zábřeh, Šumperk	stojan
78807:84	Zábřeh, Na Výsluní 1101/2, u kotelny Zábřeh, Šumperk	stojan
78807:86	Zábřeh, Sokolská 1478/14 Zábřeh, Šumperk	stojan
78807:88	Zábřeh, u Kozinova 1903/6, Market Nova Zábřeh, Šumperk	stojan
78807:89	Vernířovice, aut.zastávka Sedm Dvorů Vernířovice, Šumperk	stojan
78807:9	Šumperk, Nerudova 640/41, nemocnice vrátnice Šumperk, Šumperk	sto
79007:10	Jeseník,Dukelská 717/2, Albert Jeseník, Jeseník	stojan u silnice
79007:102	Javorník, Bílý Potok 94, aut.zastávka Bílý Potok, Javorník, Jeseník	stojan
79007:103	Javorník, Travná 92, aut. zastávka Travná, Javorník, Jeseník	stojan
79007:12	Jeseník,vedle Sadové1364/3,autobus.nádraží Jeseník, Jeseník	stojan
79007:13	Jeseník, Bukovice, Rejvízská 178,potraviny Bukovice, Jeseník	stojan
79007:16	Bělá p.Prad.,Filipovice E61,Hotel St.pošta Filipovice, Bělá pod Pradědem, Jeseník	stoj
79007:200	Zlaté Hory, Na Okálech za č.p. 775 Zlaté Hory, Jeseník	stojan
79007:201	Zlaté Hory,za Wolkerova 721, sídl.,Market Zlaté Hory, Jeseník	stojan
79007:204	Zlaté Hory, nám. Svobody 10 Zlaté Hory, Jeseník	stojan u cesty
79007:207	Zlaté Hory, Dolní Údolí za č.p. 43 Dolní Údolí, Zlaté Hory, Jeseník	stojan
79007:210	Zlaté Hory, Ondřejovice 210, PST Ondřejovice, Zlaté Hory, Jeseník	na zídce
79007:23	Písečná, Studený Zejf 60,křižovatka u studny Studený Zejf, Písečná, Jeseník	stoj
79007:25	Lipová-lázně, Bobrovník 648, Autocamping Bobrovník, Lipová-lázně, Jeseník	stojan
79007:29	Mikulovice, okal Hlavní 345, aut.zastávka Mikulovice, Jeseník	stojan
79007:30	Mikulovice, Kolnovice 26, aut.zastávka Kolnovice, Mikulovice, Jeseník	stojan
79007:32	Hradec-Nová Ves,naproti čp 103,společ.dům Hradec-Nová Ves, Hradec-Nová Ves, Jeseník	stojan
79007:37	Supíkovice 135, prodejna Supíkovice, Jeseník	stojan
79007:39	Vidnava, Mírové náměstí 21 Vidnava, Jeseník	stojan
79007:41	Vápenná za č.p.445, autobus. zast. Vápenná, Jeseník	stojan
79007:43	Skorošice, Petrovice 230, aut.zastávka Petrovice, Skorošice, Jeseník	stojan
79007:45	Skorošice 27, obchod Skorošice, Jeseník	stojan
79007:46	Kobylá nad Vidnavkou za čp.35, Jednota Kobylá nad Vidnavkou, Jeseník	stojan
79007:47	Žulová, Tomíkovice za čp. 334, aut.zast. Tomíkovice, Žulová, Jeseník	stojan
79207:107	Nová Véska, naproti čp.27,Norberčany Nová Véska, Norberčany, Olomouc	na stojanu
79207:110	Čabová, napr.čp.23, Mor.Beroun Čabová, Moravský Beroun, Olomouc	stojan u zast.BUS
79207:111	Nové Valteřice vedle čp.9, Mor.Beroun Nové Valteřice, Moravský Beroun, Olomouc	na stojanu
79207:113	vedle čp.15, Lomnice Lomnice, Bruntál	na zast.BUS
79207:119	Májůvka, u čp.16, Bílčice Májůvka, Bílčice, Bruntál	stojan na zast.BUS
79207:12	Pod Lipami 1738/56-u rest.Sport,u zast.MHD Bruntál, Bruntál	stojan
79207:120	čp.145, Křišťanovice Křišťanovice, Bruntál	stojan naproti obchodu
79207:13	BUS zast.,naproti Dukelská 1501/2, Bruntál Bruntál, Bruntál	stojan
79207:208	Česká Ves,za čp.17, M. Albrechtice Česká Ves, Město Albrechtice, Bruntál	stojan u plotu
79207:211	Burkvíz,u čp.11,M.Albrechtice Burkvíz, Město Albrechtice, Bruntál	stojan na zast.BUS
79207:213	Žáry,u čp.2-býv.léčeb.,M.Albrechtice Žáry, Město Albrechtice, Bruntál	na zast.BUS
79207:216	Spálené,napr.243,Holčovice Spálené, Holčovice, Bruntál	stoj.zast.BUS Ptáčník
79207:217	Spálené,u čp.59, Holčovice Spálené, Holčovice, Bruntál	na zast.BUS
79207:220	napr.čp.390, Jindřichov Jindřichov, Bruntál	stojan na zast.BUS
79207:221	Dlouhá Voda,čp.21,M.Albrechtice Dlouhá Voda, Město Albrechtice, Bruntál	stojan u rekr.stř
79207:222	Hynčice čp.2,M.Albrechtice Hynčice, Město Albrechtice, Bruntál	stojan zast.BUS-rozc.
79207:223	Arnultovice,čp.59, Jindřichov Arnultovice, Jindřichov, Bruntál	stojan na zast.BUS
79207:224	mezi čp.24 a 238, Třemešná Třemešná, Bruntál	na stojanu
79207:229	Pomezí, u čp.214, Janov Janov, Bruntál	stojan na zast.BUS
79207:232	Jelení, č.p. 20, Holčovice Jelení, Holčovice, Bruntál	na stojanu
79207:236	Karlov,u čp.8, Bohušov Karlov, Bohušov, Bruntál	stojan na zast.BUS
79207:239	Horní Povelice,napr.čp.67,Liptaň Horní Povelice, Liptaň, Bruntál	stojan zast.BUS
79207:241	Pitárné,u čp.116, Vysoká Pitárné, Vysoká, Bruntál	stojan před obchodem
79207:243	Bartultovice,u čp.107, Vysoká Bartultovice, Vysoká, Bruntál	na zast.BUS
79207:245	Bučávka,u čp.82,Liptaň Bučávka, Liptaň, Bruntál	stojan na točně BUS u kapl
79207:246	Amalín, u nádraží čp.3, Sl.Rudoltice Amalín, Slezské Rudoltice, Bruntál	na stojanu
79207:248	Ostrá Hora,vedle čp.213, Bohušov Ostrá Hora, Bohušov, Bruntál	stojan u plotu
79207:250	Matějovice,napr.čp.2, Rusín Matějovice, Rusín, Bruntál	stojan na zast.BUS
79207:251	Koberno,mezi čp.39 a 46,Sl.Rudoltice Koberno, Slezské Rudoltice, Bruntál	stoj.na rozc
79207:28	Mor.Kočov 69,MS Kočov Moravský Kočov, Moravskoslezský Kočov, Bruntál	stojan mezi obch.a zast.BUS
79207:30	naproti rest.Formanka,Valšov 67 Valšov, Bruntál	stojan u zast.BUS
79207:310	Železná čp.144,Vrbno pod Prad. Železná, Vrbno pod Pradědem, Bruntál	stojan za obchodem
79207:314	Vidly, před čp.127, Vrbno pod Prad. Vidly, Vrbno pod Pradědem, Bruntál	na stojanu
79207:315	napr.Penz.Stonožka čp.78,Ludvíkov Ludvíkov, Bruntál	stoj.zast.BUS
79207:318	Zadní Ves,u čp.401,Karlovice Zadní Ves, Karlovice, Bruntál	stojan před kioskem
79207:322	Parkoviště,u čp.95,Karl.Studánka Karlova Studánka, Bruntál	na zdi kiosku
79207:33	Točna BUS, u čp.17, Nová Pláň Nová Pláň, Bruntál	na stojanu
79207:34	naproti čp.119, Mezina Mezina, Bruntál	na stojanu
79207:401	Pod Cv.,Dobrovského u 281/16,Krnov Pod Cvilínem, Krnov, Bruntál	stojan zas.BUS
79207:402	Pod Cvilínem,SPC N,před 453/55,Krnov Pod Cvilínem, Krnov, Bruntál	stoj.u křiž.
79207:403	Pod Cv.,,Žižkova,před 566/27,Krnov Pod Cvilínem, Krnov, Bruntál	stoj.u tf.bud.
79207:406	PBV, Sv.Ducha u čp.2279/7,Krnov Pod Bezručovým vrchem, Krnov, Bruntál	stojan u křižov.
79207:41	Nová Véska u č.37,St.Město Nová Véska, Staré Město, Bruntál	stojan na zast. BUS
79207:414	PBV,Jesenická u č.1938/1 Krnov křiž.
79207:417	PBV,Bruntálská u č.1240/77, Krnov Pod Bezručovým vrchem, Krnov, Bruntál	stojan zast.BUS
79207:42	Skrbovice, napr.čp.23, Šir.Niva Skrbovice, Široká Niva, Bruntál	stojan u zast.ČD
79207:422	Pod Cvil.,u nám.Míru161/8,Krnov Pod Cvilínem, Krnov, Bruntál	stoj.napr.v parku
79207:424	PBV,Hl.nám.,naproti čp.95/3-ČS, Krnov Pod Bezručovým vrchem, Krnov, Bruntál	na stojanu
79207:428	PBV,Revoluční u 958/49-Lidl,Krnov Pod Bezručovým vrchem, Krnov, Bruntál	stojan u cesty
79207:434	PBV,Ježník u č.1855/23-DD,Krnov Pod Bezručovým vrchem, Krnov, Bruntál	stojan vedle obj.
79207:438	Dubnice, u čp. 40, Lichnov Dubnice, Lichnov, Bruntál	stojan u tf.budky
79207:439	Láryšov,u č.116, Býkov-Láryšov Láryšov, Býkov-Láryšov, Bruntál	stojan na zast.BUS
79207:442	Kr.Loučky,u č.9/9,Krnov Krásné Loučky, Krnov, Bruntál	stojan na zast.BUS
79207:444	St.Purkartice,napr.č13,Hošťálkovy Staré Purkartice, Hošťálkovy, Bruntál	stojan zast.BUS
79207:449	u čp.55-zast.BUS-Radim-střed,Brantice Radim, Brantice, Bruntál	stojan
79207:455	poblíž čp.73,Brantice-hor.konec Brantice, Bruntál	stojan zast.BUS
79207:459	Loučky,napr.čp.112, Zátor Loučky, Zátor, Bruntál	stojan na zast.BUS
79207:462	Čaková,u OÚ čp.101, Čaková Čaková, Bruntál	na zděné zastávce BUS
79207:47	Stará Voda,napr.čp.112,Sv.Hora Stará Voda, Světlá Hora, Bruntál	stojan u zast.BUS
79207:51	Ferrum Form,u čp.13,Malá Morávka Malá Morávka, Bruntál	před vstupem
79207:57	BUS zast.,napr.čp.125, Malá Morávka Malá Morávka, Bruntál	na stojanu
79207:59	Luhy, napr.čp.19 -zast.BUS , Horní Benešov Luhy, Horní Benešov, Bruntál	stojan
79207:69	Arnoltice,naproti čp.88,Huzová Arnoltice, Huzová, Olomouc	stojan u zast.BUS
79207:70	Kněžpole,vedle čp.37,Jiříkov Kněžpole, Jiříkov, Bruntál	na zdi zast.BUS
79207:72	Těchanov,vedle čp.44,Jiříkov Těchanov, Jiříkov, Bruntál	na dřevěné zast.BUS
79207:73	Křížov, naproti č.p. 41, Jiříkov Křížov, Jiříkov, Bruntál	na stojanu
79207:74	Sovinec,vedle čp.10, Jiříkov Sovinec, Jiříkov, Bruntál	stojan u zast.BUS
79207:75	tř.Hrdinů 580/21,Rýmařov Rýmařov, Bruntál	stojan naproti čistírny
79207:76	Opavská,mezi č.404/21a vrátn.Hedvy,Rýmařov Rýmařov, Bruntál	stojan
79207:77	Edrovice,J.Fučíka 52/13,Rýmařov Edrovice, Rýmařov, Bruntál	stojan u hospody
79207:81	Ondřejov 95,Rýmařov Ondřejov, Rýmařov, Bruntál	stojan u hospody na zast.BUS
79207:82	Jamartice,u čp.106,Rýmařov Jamartice, Rýmařov, Bruntál	stojan na zast.BUS
79207:84	vedle čp.19,Malá Štáhle Malá Štáhle, Bruntál	stojan na zast.BUS
79207:85	poblíž čp.90,Horní Moravice Horní Moravice, Dolní Moravice, Bruntál	stojan na rozcestí
79207:86	napr.čp.7,část Nová Ves,Dolní Moravice Nová Ves, Dolní Moravice, Bruntál	na stojanu
79207:87	Potočná 156/114,Stará Ves Stará Ves, Bruntál	stojan u hotelu An.Huť
79207:88	u čp.63,část Žďárský Potok,Stará Ves Žďárský Potok, Stará Ves, Bruntál	na zast.BUS
79207:91	Dobřečov,u čp.50,Horní Město Dobřečov, Horní Město, Bruntál	stojan na zast.BUS
79207:92	Skály,u čp.16,Horní Město Skály, Horní Město, Bruntál	stojan na zast.BUS
79207:93	Stříbrné Hory,u č.9,Horní Město Stříbrné Hory, Horní Město, Bruntál	stoj.na zast.BUS
79207:96	u obchodu vedle čp.102,Tvrdkov Tvrdkov, Bruntál	stojan na zast.BUS
79207:97	Mirotínek,napr.čp.53,Tvrdkov Mirotínek, Tvrdkov, Bruntál	stojan na zast.BUS
79907:1	Prostějov, Winklerova 2258/25 Prostějov, Prostějov	stojan
79907:105	Doloplazy, Poličky 43 Poličky, Doloplazy, Prostějov	stojan
79907:107	Koválovice-Osíčany, Osíčany 10 Osíčany, Koválovice-Osíčany, Prostějov	aut.zast.-stojan
79907:11	Prostějov,Pod Kosířem 3194/48 stojan křiž Prostějov, Prostějov	Wolfova
79907:113	Pavlovice u Koj., Unčice 8 Unčice, Pavlovice u Kojetína, Prostějov	stojan
79907:138	Vřesovice 107 Vřesovice, Prostějov	stojan
79907:139	Myslejovice 34 Myslejovice, Prostějov	točna-stojan
79907:147	Dub nad Mor., Tučapy 435 Tučapy, Dub nad Moravou, Olomouc	zastávka-stojan
79907:172	Náměšť na Hané, Nové Dvory 414 Náměšť na Hané, Olomouc	aut.zast.-stojan
79907:2	Prostějov,Svatoplukova 2598/15,křižovatka Prostějov, Prostějov	stojan
79907:20	Prostějov, sídl.Svobody 3574/75,rest.Haná Prostějov, Prostějov	stojan
79907:208	Vranovice-Kelčice, Vranovice 27 Vranovice-Kelčice, Prostějov	stojan
79907:31	Prostějov,Vrahovice, M.Pujmanové 670 Vrahovice, Prostějov	stojan
79907:324	Brodek u Konice Brodek u Konice, Prostějov	na zast.FTL - u č.p. 129
79907:327	Horní Štěpánov Horní Štěpánov, Prostějov	stojan u zas. FTL - u č.p. 7
79907:329	Horní Štěpánov, Pohora Pohora, Horní Štěpánov, Prostějov	na zast. FTL - u č.p.17
79907:333	Laškov, Krakovec Krakovec, Laškov, Prostějov	na zast. FTL - před č.p. 13
79907:334	Pěnčín Pěnčín, Prostějov	na zast. FTL - před č.p. 227
79907:336	Pěnčín 181 Pěnčín, Prostějov	U lípy-stojan
79907:337	Laškov, Kandia Kandia, Laškov, Prostějov	na zast. FTL - před č.p. 29
79907:339	Laškov Laškov, Prostějov	Zmoly-na zast. FTL před č.p. 104
79907:34	Čelčice 54 Čelčice, Prostějov	stojan u kapličky
79907:342	Suchdol, Labutice Labutice, Suchdol, Prostějov	stojan u zast. FTL u č.p. 9
79907:343	Suchdol Suchdol, Prostějov	stojan u zast. FTL za č.p. 93
79907:347	Lipová Lipová, Prostějov	zastávka FTL-stojan, za č.p. 91
79907:351	Kladky 195 Kladky, Prostějov	stojan u aut.zastávky
79907:353	Ludmírov, Dětkovice 21 Dětkovice, Ludmírov, Prostějov	stojan u aut.zastávky
79907:355	Ludmírov, Milkov 9 Milkov, Ludmírov, Prostějov	stojan u aut.zastávky
79907:357	Hvozd 51 Hvozd, Prostějov	stojan u aut.zastávky
79907:358	Hačky 4 Hačky, Prostějov	na aut. zastávce
79907:359	Polomí 66 Polomí, Prostějov	stojan u aut.zastávky
79907:360	Hvozd, Vojtěchov 24 Vojtěchov, Hvozd, Prostějov	stojan u aut.zastávky
79907:43	Hrubčice,Otonovice Otonovice, Hrubčice, Prostějov	stojan za č.24- has.zbrojnice
79907:56	Stařechovice, Služín 29, Služín, Stařechovice, Prostějov	stojan u zastávky FTL
79907:57	Stařechovice za č.p. 27 Stařechovice, Prostějov	na zastávce FTL
79907:61	Hluchov 18 Hluchov, Prostějov	stojan - u pomníku
79907:63	Mostkovice, za K Mlýnu 466/2 Mostkovice, Prostějov	zastávka FTL-stojan
79907:65	Olšany u Prostějova,Hablov 9 Hablov, Olšany u Prostějova, Prostějov	stojan
79907:67	Čelechovice na Hané, Kaple 17 Kaple, Čelechovice na Hané, Prostějov	zastávka FTL-stojan
79907:68	Čelechovice na Hané, Studenec 1 Studenec, Čelechovice na Hané, Prostějov	stojan u kapličky
79907:7	Prostějov, sídl.E.Beneše 3916/21 Prostějov, Prostějov	stojan
79907:72	Plumlov, naproti Ohrozimská 357 Plumlov, Prostějov	tesárna-stojan
79907:78	Plumlov,Hamry za č.p. 12 Hamry, Plumlov, Prostějov	zvonice
79907:8	Prostějov, Olomoucká 2903/37, GALEKO Prostějov, Prostějov	stojan
79907:84	Zdětín 31 Zdětín, Prostějov	na autobusové zastávce
79907:85	Ptení, Ptenský Dvorek 33 Ptenský Dvorek, Ptení, Prostějov	stojan u aut. zastávky
79907:9	Prostějov,Vápenice 2955/23xHavlíčkova 2955/1 Prostějov, Prostějov	stoj
79907:91	Rozstání před č.p. 29 Rozstání, Prostějov	stojan aut. zastávka
79907:92	Otinoves za čp. 58 Otinoves, Prostějov	na aut. zastávce
10003:246	Petra Rezka 1183/5, Nusle, 14000, Praha, Petra Rezka 5
10003:271	Thom.nem. venku, Krč, Praha, Hl. město Praha
10003:295	Durychova - Otradovická, Kamýk, Praha, Hl. město Praha
10003:296	Novodvor. -Smotlachova, Libuš, Praha, Hl. město Praha
10003:297	Novodvor. - Obzor, Libuš, Praha, Hl. město Praha
10003:299	Libušská-Výletní, Písnice, Praha, Hl. město Praha
10003:302	Kolarovova _ Zimova, Kamýk, Praha, Hl. město Praha
10003:303	Levského- Vazovova, Modřany, Praha, Hl. město Praha
10003:306	Kolarovova - J:Jovkova, Modřany, Praha, Hl. město Praha
10003:33	Hotel Opatov U hřbitova, Chodov, Praha, Hl. město Praha
10003:359	Boční II - Roztyl.sady, Záběhlice, Praha, Hl. město Praha
10003:36	Měcholupská - obchod, Štěrboholy, Praha, Hl. město Praha
10003:362	Na Chodov.-Střím., Záběhlice, Praha, Hl. město Praha
10003:368	Roztyly- metro, Chodov, Praha, Hl. město Praha
10003:374	Chodov - metro, Chodov, Praha, Hl. město Praha
10003:378	U Kunratického lesa PORS, Kunratice, Praha, Hl. město Praha
10003:38	Novoštěrboholská - křižovatka, Štěrboholy, Praha, Hl. město Praha
10003:385	Opatovská-Vít, Háje, Praha, Hl. město Praha
10003:398	Hviezdoslavova-Vít, Háje, Praha, Hl. město Praha
10003:458	Weilova - Vltava, Hostivař, Praha, Hl. město Praha
10003:5	nám. J.Pecáka -Točná, Točná, Praha, Hl. město Praha
10003:52	Nedvězí, Nedvězí u Říčan, Praha, Hl. město Praha
11007:101	Slavojova 526/1, Nusle, 12800, Praha, Slavojova 1, rohový dům s Lumírovou 526/3, Praha 2
11007:741	U smaltovny 246/18, Holešovice, 17000, Praha, U smaltovny 18, P 7
11007:745	Holeš. nádr./Metro, P 7, Holešovice, Praha, Hl. město Praha
17704:212	Pod Studánkou/Okružní, Beroun, Beroun-Město, Beroun
17704:226	u knihovny č.p.9, Lhotka, Lhotka, Svinaře, Beroun
17704:312	Holubice, Holubice, Praha-západ
17704:322	Letecká 550, 25266, Libčice nad Vltavou, Letecká čp. 550
17704:325	na návsi, Úholičky, Úholičky, Praha-západ
17704:385	Velké Číčovice - náves, Číčovice, Praha-západ
17704:558	Staropramenná 986/11, Smíchov, 15000, Praha, Staropramenná 11, P 5
17704:603	Nádraží Zlíchov, Hlubočepy, Praha, Hl. město Praha
17704:658	Košířské náměstí 442/3, Košíře, 15000, Praha, Košířské nám. 3, P 5
17704:677	Vokovická/Bus, P 6, Vokovice, Praha, Hl. město Praha
17704:683	Libocká 58/42, Liboc, 16200, Praha, Libocké nám. 42, P 6
17704:687	Nevanova/nak.stred., P 6, Řepy, Praha, Hl. město Praha
17704:689	Bazovského/Bus, P 6, Řepy, Praha, Hl. město Praha
17704:692	Španielova/nák.střed., P 6, Řepy, Praha, Hl. město Praha
17704:696	K letisti /Bus, Ruzyně, Praha, Hl. město Praha
17704:698	Letiště vchod B, Ruzyně, Praha, Hl. město Praha
17704:699	Letiště v hale, Ruzyně, Praha, Hl. město Praha
17704:701	Evropská/zastávka bus Dědina, Liboc, Praha, Hl. město Praha
17704:702	Vlastina/Evropská, P 6, Liboc, Praha, Hl. město Praha
17704:704	Na pískách, P 6 - zastávka bus Hanspaulka, Dejvice, Praha, Hl. město Praha
17704:709	Šárecká/Bus, P 6, Dejvice, Praha, Hl. město Praha
17704:714	Evropská 344/4, Dejvice, 16000, Praha, Evropská 4, P 6
17704:720	náměstí Interbrigády 656/5, Bubeneč, 16000, Praha, Nám.Interbrigády 5, P 6
17704:723	Českomalínská 496/9, Bubeneč, 16000, Praha, Českomalínská 9, P 6
17704:728	Sukova 560/1, Bubeneč, 16000, Praha, Sukova 1, P 6
17704:729	Národní obrany 471/12, Bubeneč, 16000, Praha, Národní obrany 12, P 6
17704:776	Brunclíkova 1744/10, Břevnov, 16200, Praha, Brunclíkova 10, P 6
17704:799	Pod Paťankou-Máslova P 6, Dejvice, Praha, Hl. město Praha
17704:843	Letiště sever C/1, Ruzyně, Praha, Hl. město Praha
17704:844	Letiště sever C/2, Ruzyně, Praha, Hl. město Praha
17704:887	u požární zbrojnice, Chlustina, Chlustina, Beroun
17704:889	autobusová zastávka, Březová u Hořovic, Březová, Beroun
17704:93	Nebušická 228, Nebušice, 16400, Praha, Nebušická 228, P 6
19007:1821	Ďáblická - zast. MHD, Praha 82, Ďáblice, Praha, Hl. město Praha
19007:1924	Úpická-Listopadova, Praha 912, Dolní Počernice, Praha, Hl. město Praha
19007:1961	Cukrovarská/Cukrovar, Čakovice, Čakovice, Praha, Hl. město Praha
19007:1962	ČSD nádraží, Čakovice, Čakovice, Praha, Hl. město Praha
19007:1965	Pož. zbroj. Praha 96-Miškovice, Miškovice, Praha, Hl. město Praha
19007:1967	BUS sídliště Zámecký park P96, Čakovice, Praha, Hl. město Praha
19007:1977	Mladoboleslavská-Hornopočernická, P97, Kbely, Praha, Hl. město Praha
19007:1978	Karlovická-Jilemnická, Praha 97, Kbely, Praha, Hl. město Praha
19007:2004	Nádraží ČD Stará Boleslav, Stará Boleslav, Brandýs nad Labem-Stará Boleslav, Praha-východ
19007:2039	Veliký Brázdim - Kaplička, Veliký Brázdim, Praha-východ
19007:2056	Husova , Sedlčánky, Sedlčánky, Čelákovice, Praha-východ
19007:2084	Bořanovice 64, Pakoměřice, Bořanovice, Praha-východ
19007:2111	Hlavní 69, 25070, Veliká Ves, Hlavní 69, obecní úřad, Veliká Ves u Prahy
19007:856	Davídkova -Zvonařovská, Praha 8, Libeň, Praha, Hl. město Praha
19007:862	Ďáblická - konečnáMHD, Praha 8, Ďáblice, Praha, Hl. město Praha
19007:866	Střelničná-Střekovská, Praha 8, Kobylisy, Praha, Hl. město Praha
19007:868	Lovosická-Litoměřická, Praha 9, Prosek, Praha, Hl. město Praha
19007:871	Chrastavská-Dvoudílná, Praha 9, Střížkov, Praha, Hl. město Praha
19007:873	Lovosická-Jablonecká, Praha 9, Střížkov, Praha, Hl. město Praha
19007:874	Lovosická-Novoborská, Praha 9, Střížkov, Praha, Hl. město Praha
19007:878	Lovosická-Terezínská,Praha 9, Letňany, Praha, Hl. město Praha
19007:881	AVIA Letňany, Praha 9, Letňany, Praha, Hl. město Praha
19007:927	Mazurská konečná MHD, Praha 8, Troja, Praha, Hl. město Praha
19007:948	Slévačská-Zdobnická, Praha 9, Kyje, Praha, Hl. město Praha
19007:949	MHD Žďárská, Praha 9, Dolní Chabry, Praha, Hl. město Praha
19007:952	Ocelkova - Breitcetlova, Praha 9, Černý Most, Praha, Hl. město Praha
19007:958	Poděbradská - Kbelská MHD, Praha 9., Hloubětín, Praha, Hl. město Praha
19007:961	Kolbenova-Freyova, Praha 9, Vysočany, Praha, Hl. město Praha
19007:969	Gen.Janouška - Šromova, Praha 9, Černý Most, Praha, Hl. město Praha
19007:972	Podkovářská  xPoděbradská, Praha 8, Vysočany, Praha, Hl. město Praha
25107:123	Kamenice, Valnovka, Ládví, Kamenice, Praha-východ
25107:138	roh ulic Hlavní a Úvozová, Sulice-Hlubočinka, Hlubočinka, Sulice, Praha-východ
25107:239	u budovy pošty, Oleška /, 
25107:24	Březí u telefonní budky, Březí, Praha-východ
25107:25	Pacov - na zastávce za čp. 20, Pacov, Pelhřimov
25107:88	na návsi,  Záhořany 5-8, Zahořany, Okrouhlo, Praha-západ
26907:100	Velká Buková č.p.167, Velká Buková, Rakovník
26907:11	Winterova ul., Rakovník II, Rakovník
26907:118	Chotěšov, mezi čp.38 a 39, Chotěšov, Jesenice, Rakovník
26907:127	hasiˇčská zbrojnice, Všesulov, Všesulov, Rakovník
26907:128	, Milíčov, Milíčov, Šípy, Rakovník
26907:130	, Bělbožice, Bělbožice, Šípy, Rakovník
26907:131	Váha ZD, Břežany, Břežany, Rakovník
26907:136	Kůzová - náves, Kůzová, Čistá, Rakovník
26907:137	autobusová zastávka, Lhota, Lhota, Čistá, Rakovník
26907:14	Sídliště Vinohrady, Rakovník II, Rakovník
26907:141	Pšovlky, u potravin, Pšovlky, Rakovník
26907:145	Krakovec - požární zbrojnice, Krakovec, Rakovník
26907:151	u prodejny, Hvozd, Hvozd, Rakovník
26907:152	Osada Krčel, Lubná, Rakovník
26907:154	Senec - sběrna mléka, Senec, Rakovník
26907:155	samoobsluha, Lubná u Rakovníka, Lubná, Rakovník
26907:169	Nádraží -  Lužná, Jednota, Lužná, Rakovník
26907:196	Řevničov osada - potraviny, Řevničov, Rakovník
26907:201	 ČSAD, Přerubenice, Přerubenice, Rakovník
26907:203	aut.zast.ČSAD, Milý_, Milý, Rakovník
26907:205	Kalivody - , Kalivody, Rakovník
26907:26	Olešná - u zat. ČSAD, Olešná, Rakovník
26907:28	Nový Dům - u prodejny, Nový Dům, Rakovník
26907:29	Kněževes - prodejna  pek. výr., Kněževes, Rakovník
26907:35	Nouzov - u zastávky, Nouzov, Senomaty, Rakovník
26907:36	Šanov, u potravin, Šanov, Rakovník
26907:37	Hostokryje - u zastávky, Hostokryje, Senomaty, Rakovník
26907:39	Oráčov - na návsi, Oráčov, Rakovník
26907:4	Sídliště Zátiší, Rakovník II, Rakovník
26907:5	Stánek Rakona, Rakovník II, Rakovník
26907:57	Vlkov u DS, Vlkov, Děkov, Rakovník
26907:58	Nová Ves u DS, Nová Ves, Děkov, Rakovník
26907:64	Mutějovice č.p. 221, Mutějovice, Rakovník
26907:66	Mutějovice - č.p. 119, Mutějovice, Rakovník
26907:68	Mutějovice - nádraží ČD, Mutějovice, Rakovník
26907:74	na návsi, Chlum horní, Chlum, Pavlíkov, Rakovník
26907:75	Ryšín - u kapličky, Ryšín, Pavlíkov, Rakovník
26907:77	Všetaty - u býv. obvhodu, Všetaty, Rakovník
26907:78	Lašovice - u zastávky, Lašovice, Rakovník
26907:79	Panoší Újezd - u obchodu, Panoší Újezd, Rakovník
26907:80	Skřivan - zast. ČSAD, Skřivaň, Pavlíkov, Rakovník
26907:81	Tytry - na návsi, Tytry, Pavlíkov, Rakovník
27207:103	Srby - zast. ČSAD, Srby, Tuchlovice, Kladno
27207:111	28. října 1097, Švermov, Kladno
27207:116	Seifertova - zast, MHD, Švermov, Kladno
27207:117	K. Žehrovice - zastávka ČSAD, Kamenné Žehrovice, Kladno
27207:121	Běleč - zast. ČSAD, Běleč, Kladno
27207:126	u samobsluhy, Družec, Družec, Kladno
27207:127	Bratronice - před  OÚ, Bratronice, Kladno
27207:145	Velvary, naproti čp. 618 - garáže, Velvary, Kladno
27207:146	Nové Uhy, mezi čp. 652 a čp. 653, Velvary, Kladno
27207:158	Kmetiněves u autobus. zastávky, Kmetiněves, Kladno
27207:160	Černuc - parkoviště, schránka na , 
27207:170	Stehelčeves - aut. zast., Stehelčeves, Kladno
27207:18	ulice  Na Štěpánce, Kladno, Kladno
27207:187	Nouzov - aut. zast., Unhošť, Kladno
27207:192	Toskánka čp. 1 - , Unhošť, Kladno
27207:194	Dolní Bezděkov - , Dolní Bezděkov, Chrudim
27207:203	Břešťany - prodejna, Břešťany, Zlonice, Kladno
27207:209	Vyšínek zastávka ČSAD, Vyšínek, Zlonice, Kladno
