ref	Address	note
70071:62	Točna trolejbusů , Koblov Koblov, Ostrava-město	na stojanu
70071:67	Radvanická 398/58 xHolandská Michálkovice Michálkovice, Ostrava-město	stojan
70071:70	Michálkovická , MHD Na Jánské,Michálkovice Michálkovice, Ostrava-město	stojan
70071:77	Michálkovická 1137/197-u ZOO ,Sl.Ova Slezská Ostrava, Ostrava-město	na stojanu
70071:78	Michálkovická 1229/159 PULARY, Sl.Ostrava Slezská Ostrava, Ostrava-město	stojan
70071:79	Hladnovská-Důl Bezruč, zast.MHD,Sl.Ostrava Slezská Ostrava, Ostrava-město	stojan
72572:101	Opavská,u čp.775/89, Poruba Poruba, Ostrava-město	stojan u cesty
72572:102	Opavská,u čp.820/67, Poruba Poruba, Ostrava-město	stojan u cesty
72572:104	Mongolská,u čp.1430, Poruba Poruba, Ostrava-město	stojan u cesty
72572:105	Ukrajinská xPolská,Poruba Poruba, Ostrava-město	stoj.u zast.MHD Mong.
72572:108	E. Rošického,u čp.1065/9,Svinov Svinov, Ostrava-město	stojan u křižov.
72572:109	Sokolovská,u čp.1172/2, Poruba Poruba, Ostrava-město	stoj.zast.MHD-bus
72572:112	1.čsl.arm.sboru,u č.1372/5,Poruba Poruba, Ostrava-město	stoj.u zast.MHD
72572:113	Slavíkova,u čp.1744/22,Poruba Poruba, Ostrava-město	stojan napr.garáží
72572:114	V.Makovského,napr.4423/1,Poruba Poruba, Ostrava-město	na zídce u kont.
72572:119	Zd.Štěpánka,u čp.1787/1,Poruba Poruba, Ostrava-město	stojan před Č.Spoř
72572:12	Náměstí - zast.MHD , Vratimov Vratimov, Ostrava-město	na stojanu
72572:120	Plk.R.Prchaly xFr.Čechury,Poruba Poruba, Ostrava-město	stoj.u zast.MHD
72572:121	ul.Průběžná,Poruba Poruba, Ostrava-město	stoj.u zast.MHD-L.Podéště
72572:122	J.Skupy,u čp.1709/1 xPrůběžná, Poruba Poruba, Ostrava-město	stpjan
72572:123	Martinovská xA.Hrdličky,Poruba Poruba, Ostrava-město	stojan napr.DPO
72572:125	Hrábek 149/1 xK.Svobody,Plesná Plesná, Ostrava-město	stojan u křižov.
72572:126	Jana Šoupala,poblíž čp.1597/1,Poruba Poruba, Ostrava-město	stoj.u zast
72572:129	Pustkovecká x17.listop.8/84,Pustkovec Poruba, Ostrava-město	stoj.
72572:15	Most za nádražím , Urbišova, Řepiště Řepiště, Frýdek-Místek	na stojanu
72572:17	Řepiště, zast.MHDU Kříže Řepiště, Frýdek-Místek	na zdi nov.stánku
72572:201	Proskovice,Světlovská 41/21,u kapličky Proskovice, Ostrava-město	stojan
72572:203	St.Bělá,napr.Pož.zbroj.,Mitrovická 504/153 Stará Bělá, Ostrava-město	stojan
72572:206	Nová Bělá,Hrabovská u čp.350/66, zast.MHD Nová Bělá, Ostrava-město	stojan
72572:207	N.Bělá,Mitrovická u č.54/365,MHD-křižov. Nová Bělá, Ostrava-město	stojan
72572:24	Václavovice, Kopťovo,zast.MHD Točna Václavovice, Ostrava-město	na stojanu
72572:303	Bří Sedláčků,napr. 848/23, Svinov Svinov, Ostrava-město	stojan
72572:305	Třebovická 5031/38 xPod Výhonem,Třebovice Třebovice, Ostrava-město	stojan
72572:306	Provozní 5491/1,Třebovice Třebovice, Ostrava-město	stojan na rohu u Bistra
72572:308	1.května,u 209/16,Polanka Polanka nad Odrou, Ostrava-město	stojan u hosp.U Machů
72572:310	J. Šamala 914/9, Polanka Polanka nad Odrou, Ostrava-město	stojan napr.zast.MHD
72572:311	Ve Svahu,u č.86/2, Polanka Polanka nad Odrou, Ostrava-město	stojan z ul.1.května
72572:314	Ostravská,349/10-Janová,Polanka Polanka nad Odrou, Ostrava-město	stojan zast.MHD
72572:327	Havlíčkova,u čp.419-sídliště, Klimkovice Klimkovice, Ostrava-město	stojan
72572:329	Ostravská 98 x28.října,Klimkovice Klimkovice, Ostrava-město	stoj.u křižov.
72572:331	Hlavní,u čp.130, Olbramice Olbramice, Ostrava-město	stojan vedle obchodu
72572:332	U Kaple,vedle čp.38, Zbyslavice Zbyslavice, Ostrava-město	stojan zast.BUS
72572:333	u čp.34 - U Hasičů,Klimk.-Hýlov Hýlov, Klimkovice, Ostrava-město	stoj.na zast.MHD
72572:334	Požárnická,u čp.13,Klimkovice Klimkovice, Ostrava-město	stojan na rozcestí
