10003:269	50.0300518	14.4571304	0
10003:270	50.0300518	14.4571304	0
10003:37	50.072598	14.54241	0
10003:409	50.04842	14.4680867	0
10003:455	50.0456607	14.5579451	0
11007:247	50.0852033	14.4144276	0
11007:761	50.1178458	14.4058748	0
11007:762	50.1178458	14.4058748	0
11007:764	50.1178458	14.4058748	0
11007:96	50.0714999	14.415082	0
17704:300	50.1584492	14.3993508	0
17704:302	50.16054579999999	14.3882883	0
17704:308	50.157522	14.3950072	0
17704:329	50.1538573	14.2846402	0
17704:379	50.063197	14.296564	0
17704:444	49.90993539999999	14.2261462	0
17704:516	49.9125028	14.2297222	0
17704:638	50.050151	14.3526058	0
17704:664	50.1004266	14.3850148	0
17704:667	50.0987952	14.3636977	0
17704:672	50.0968432	14.3545299	0
17704:694	50.0903776	14.3071336	0
17704:706	50.1069669	14.3779229	0
17704:786	50.0851361	14.3720045	0
17704:874	49.895575	13.9606891	0
17704:882	49.9129026	13.9779939	0
17704:893	49.8319139	13.9962572	0
17704:91	50.1352749	14.3832182	0
19007:1824	50.1640301	14.4839001	0
19007:1921	50.08866200000001	14.571443	0
19007:2002	50.1881978	14.6519477	0
19007:908	50.1240813	14.4561227	0
19007:951	50.1082701	14.5823072	0
19007:957	50.107192	14.5439434	0
19007:966	50.13480879999999	14.5025219	0
25107:189	49.9914204	14.854277	0
25107:190	49.9886132	14.8647672	0
25107:191	49.99235119999999	14.8435857	0
25107:210	49.9442515	14.9689998	0
25107:223	49.9963243	14.9593116	0
25107:228	50.0321744	14.9447577	0
25107:252	50.0761663	14.8642921	0
25107:86	49.877255	14.4930127	0
25607:278	49.1294114	13.7295047	0
26907:124	50.1292091	13.5440923	0
26907:153	50.0882219	14.4105141	0
26907:17	50.1077659	13.7173802	0
26907:194	50.1842038	13.8054391	0
26907:2	50.0996475	13.7300779	0
26907:202	50.2242617	13.8827812	0
26907:32	50.10848350000001	13.7109004	0
26907:38	50.098033	13.6543116	0
26907:65	50.196206	13.7084292	0
26907:69	50.196206	13.7084292	0
26907:93	49.97875819999999	13.8850316	0
27207:107	50.163377	14.149292	0
27207:11	50.1416042	14.0925231	0
27207:118	50.10056489999999	14.0042063	0
27207:12	50.1414653	14.0982004	0
27207:14	50.1458972	14.1063137	0
27207:154	50.2848614	14.2747503	0
27207:16	50.1369749	14.1020787	0
27207:168	50.1446981	14.2002713	0
27207:19	50.132812	14.111545	0
27207:20	50.1311561	14.1166451	0
27207:24	50.1344642	14.1291098	0
27207:257	50.2099172	13.9834124	0
27207:28	50.151515	14.1169545	0
27207:281	50.2338294	14.1871385	0
27207:88	50.1793239	14.1570436	0
27207:9	50.1384114	14.0895075	0
27607:1	50.3469232	14.4857433	0
27607:4	50.34866599999999	14.490762	0
28900:14	50.2258009	15.3666292	0
28900:2	50.207855	15.299073	0
30071:161	49.7093773	13.1688819	0
30071:229	49.6960734	13.3226092	0
30071:237	49.7286371	13.3089834	0
30071:240	49.8244536	13.3883291	0
30071:274	49.84180060000001	13.3581265	0
30071:277	49.8431062	13.3604316	0
30071:337	49.8121291	13.1044452	0
30071:389	49.98249	13.485015	0
30071:412	49.91643879999999	13.544293	0
30071:416	50.6203438	15.1868685	0
30071:432	49.9875153	13.4912356	0
30072:11	49.64517430000001	13.5632042	0
30072:15	49.61326469999999	13.4914926	0
30072:168	49.5624615	13.3377799	0
30072:256	49.4820114	13.5031995	0
30072:28	49.6408389	13.5186356	0
30072:283	49.57949259999999	13.5320697	0
30072:285	49.582239	13.540133	0
30072:309	49.5296433	13.4539151	0
30072:335	49.6147034	13.6040347	0
