30071:274	1059118,077	822208,770	49.84180060000001	13.3581265	R	20180202
30071:277	1058999,454	822023,026	49.8431062	13.3604316	R	20180202
30071:337	1059603,966	840750,179	49.8121291	13.1044452	R	20180202
30071:389	1045009,820	810857,919	49.98249	13.485015	R	20180202
30071:412	1052905,709	807740,494	49.91643879999999	13.544293	R	20180202
30071:416	991404,722	681017,602	50.6203438	15.1868685	R	20180202
30071:432	1044523,449	810333,679	49.9875153	13.4912356	R	20180202
30072:11	1082944,757	810852,688	49.64517430000001	13.5632042	R	20180202
30072:15	1085686,981	816501,797	49.61326469999999	13.4914926	R	20180202
30072:168	1089610,536	828336,134	49.5624615	13.3377799	R	20180202
30072:256	1100248,323	817832,292	49.4820114	13.5031995	R	20180202
30072:28	1082945,358	814107,357	49.6408389	13.5186356	R	20180202
30072:283	1089836,540	814158,113	49.57949259999999	13.5320697	R	20180202
30072:285	1089620,778	813536,247	49.582239	13.540133	R	20180202
30072:309	1094478,808	820573,848	49.5296433	13.4539151	R	20180202
30072:335	1086731,336	808434,833	49.6147034	13.6040347	R	20180202
