ref	lat	lon	address	address_back	accuracy	type
34707:13	49.8064105	12.6443654	Bělojarská, policie, Tachov	Bělojarská, policie, Tachov,CZ	GEOMETRIC_CENTER	establishment,point_of_interest,police
34707:14	49.8084944	12.6467573	Plánská, Tachov	Plánská, Tachov,CZ	GEOMETRIC_CENTER	route
34707:15	49.8018994	12.6351981	T.G.Masaryka. Delta, Tachov	T.G.Masaryka. Delta, Tachov,CZ	ROOFTOP	establishment,point_of_interest
34707:40	49.79703259999999	12.6361989	Panenská, domov důchodců, Tachov	Panenská, domov důchodců, Tachov,CZ	ROOFTOP	establishment,health,point_of_interest
40371:189	50.6360572	13.8285985	Dr.Vrbenského, Teplice	Dr.Vrbenského, Teplice,CZ	GEOMETRIC_CENTER	route
40371:191	50.6341253	13.846769	Pražská, Teplice	Pražská, Teplice,CZ	GEOMETRIC_CENTER	route
40371:217	50.64030229999999	13.843445	Josefa Suka 1346/3, Teplice	Josefa Suka 1346/3, Teplice,CZ	ROOFTOP	street_address
75707:4	49.3451537	17.9814641	Vsetín, Jiráskova, Vsetín	Vsetín, Jiráskova, Vsetín,CZ	GEOMETRIC_CENTER	route
75707:5	49.3397927	17.9814436	Na Hrázi 1603, Vsetín	Na Hrázi 1603, Vsetín,CZ	ROOFTOP	street_address
75707:8	49.34309289999999	17.9930545	Hrbová, obchod, Vsetín, Vsetín	Hrbová, obchod, Vsetín, Vsetín,CZ	ROOFTOP	establishment,point_of_interest,store
75707:12	49.33706249999999	17.9946953	Hotel VSACAN, Vsetín, Vsetín	Hotel VSACAN, Vsetín, Vsetín,CZ	ROOFTOP	establishment,lodging,point_of_interest
66907:31	48.8407825	16.0657739	Holanská, obchod, Znojmo, Znojmo	Holanská, obchod, Znojmo, Znojmo,CZ	ROOFTOP	establishment,health,pharmacy,point_of_interest,store
66907:52	48.8693088	16.0492409	Hradiště,Jednota obchod, Znojmo	Hradiště,Jednota obchod, Znojmo,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store
43807:143	50.35905529999999	13.7842954	Kpt. Nálepky č.p. 2097, Louny, Louny	Kpt. Nálepky č.p. 2097, Louny, Louny,CZ	ROOFTOP	street_address
51300:11	50.6003494	15.3290385	Na Olešce č.p.437, Semily	Na Olešce č.p.437, Semily,CZ	ROOFTOP	street_address
51300:31	50.6135756	15.3579929	ul. Nouzov, č.p.179, Semily	ul. Nouzov, č.p.179, Semily,CZ	ROOFTOP	street_address
51300:34	50.6058641	15.3348591	ulice Nad Špejcharem č.p.574, Semily	ulice Nad Špejcharem č.p.574, Semily,CZ	ROOFTOP	street_address

69007:2	48.7512451	16.9027927	Lanžhotská křižovatka, Břeclav	Lanžhotská, Břeclav,CZ	GEOMETRIC_CENTER	route
69007:15	48.775246	16.8932226	Lidická TPH, Břeclav	Lidická, Břeclav,CZ	GEOMETRIC_CENTER	route
35007:2	50.0723849	12.3841759	Cheb, ČD železniční stanice, Cheb	Cheb, železniční stanice, Cheb,CZ	GEOMETRIC_CENTER	route
35007:172	50.1766121	12.6754609	obchodní dům Kaufland (dočasně sejmuta 17, Sokolov	obchodní dům Kaufland, Sokolov,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket
79007:12	50.2266591	17.2068454	vedle Sadové 1364/3,autobus.nádraží, Jeseník	Sadová 1364/3, Jeseník,CZ	ROOFTOP	street_address
74207:3	49.5927904	18.0170076	Nový Jičín, Dvořákova 859/21 - křižovatka, Nový Jičín	Dvořákova 859/21, Nový Jičín,CZ	ROOFTOP	street_address
74207:18	49.5988607	18.0032877	Nový Jičín, Anenská 727/23 - křižovatka, Nový Jičín	Anenská 727/23, Nový Jičín,CZ	ROOFTOP	street_address
77072:27	49.59032879999999	17.2513652	Olomouc,tř.Svobody 686/26,tržnice zast.MHD, Olomouc	Olomouc,tř.Svobody 686/26,Olomouc,CZ	ROOFTOP	street_address
79907:2	49.4729464	17.1188157	Svatoplukova 2598/15,křižovatka, Prostějov	Svatoplukova 2598/15, Prostějov,CZ	ROOFTOP	street_address
78807:2	49.9600181	16.984989	Čičákova 985/1,křižov, Šumperk	Čičákova 985/1, Šumperk,CZ	ROOFTOP	street_address
78807:4	49.9627028	16.964886	Zábřežská 1815/19,u MHD-samoobsl., Šumperk	Zábřežská 1815/19,samoobsluha, Šumperk,CZ	ROOFTOP	establishment,food,grocery_or_supermarket,point_of_interest,store
78807:21	49.9706202	16.9752997	Gen.Svobody - Žižkova 2840/1, Šumperk	Žižkova 2840/1, Šumperk,CZ	ROOFTOP	street_address
78807:25	49.9617556	16.9816538	Šumperk,Jesenická 464/4,pošta Šu 2,u nádraží, Šumperk	,Jesenická 464/4,pošta, Šumperk,CZ	ROOFTOP	establishment,finance,point_of_interest,post_office
34707:4	49.7991801	12.6223417	P.Velikého - dočasně sejmuta, Tachov	P.Velikého, Tachov,CZ	GEOMETRIC_CENTER	route
75707:31	50.6553396	15.6022293	Hošťálková, Vsetín	Řeky č.p. 567, Semily,CZ	GEOMETRIC_CENTER	route
27207:18	50.1418744	14.1112168	Štěpánská 2670, Kladno	Štěpánská 2670, Kladno,CZ	ROOFTOP	street_address
27207:26	50.1442304	14.1108628	ul. gen. Klapálka, Kladno	ul. gen. Klapálka, Kladno,CZ	GEOMETRIC_CENTER	route
27207:27	50.1567225	14.1284259	Poldi, Dubí, Kladno	Poldi, Dubí, Kladno,CZ	ROOFTOP	establishment,point_of_interest
27207:28	50.151515	14.1169545	Poldi, Kladno	Poldi, Kladno,CZ	ROOFTOP	establishment,point_of_interest
27607:3	50.3428552	14.4954419	Italská , Mělník	Italská , Mělník,CZ	GEOMETRIC_CENTER	route
79907:8	49.4775977	17.1160336	Olomoucká 2903/37, Prostějov	Olomoucká 2903/37, Prostějov,CZ	ROOFTOP	street_address
34707:3	49.797636	12.6342199	poliklinika, Tachov	poliklinika, Tachov,CZ	ROOFTOP	establishment,health,point_of_interest
34707:6	49.79228120000001	12.6243455	Americká, Tachov	Americká, Tachov,CZ	GEOMETRIC_CENTER	route
75707:15	49.33544389999999	17.9957783	Nádraží, Vsetín	Nádraží, Vsetín,CZ	ROOFTOP	establishment,point_of_interest
75707:16	49.3859051	18.0182958	Dušná, Vsetín	Dušná, Vsetín,CZ	ROOFTOP	establishment,point_of_interest
